Designator,Mid X,Mid Y,Rotation,Layer
A1,215.2,-108.75,90.0,top
D1,216.47,-60.38,0.0,top
D2,216.47,-65.85,0.0,top
J3,200.86,-69.7,90.0,top
J4,200.89,-54.4,270.0,top
J5,232.24,-54.4,270.0,top
J6,232.25,-69.7,90.0,top
Q1,210.77,-77.905,0.0,top
Q2,240.25,-78.435,0.0,top
Q3,193.0,-77.935,0.0,top
Q4,222.1,-78.535,0.0,top
R1,192.1,-126.7,90.0,top
R10,207.6,-126.8,90.0,top
R11,210.7,-126.8,90.0,top
R12,213.8,-126.8,90.0,top
R13,216.9,-126.8,90.0,top
R14,220.0,-126.8,90.0,top
R15,223.1,-126.8,90.0,top
R16,226.2,-126.9,90.0,top
R17,229.3,-126.92,90.0,top
R18,232.4,-127.1,90.0,top
R19,235.5,-127.0,90.0,top
R2,201.86,-74.25,0.0,top
R20,212.7,-84.5,180.0,top
R21,237.9,-90.52,270.0,top
R22,197.4,-84.5,0.0,top
R23,226.68,-84.4,0.0,top
R24,216.5,-75.75,90.0,top
R3,231.07,-77.57,0.0,top
R4,201.89,-80.17,180.0,top
R5,231.07,-80.67,0.0,top
R6,195.2,-126.7,90.0,top
R7,198.3,-126.68,90.0,top
R8,201.4,-126.78,90.0,top
R9,204.5,-126.8,90.0,top
SW1,226.5,-91.25,270.0,top
SW2,213.5,-91.25,90.0,top
SW3,200.75,-91.25,90.0,top
TH1,216.27,-53.93,90.0,top
